type;n;algorithm;time_microseconds;char_comparisons
almost;1700;QUICKSORT;4619;235107
almost;1700;MERGESORT;2549;19640
almost;1700;STRING_QUICK_SORT;1115;43704
almost;1700;STRING_MERGE_SORT;2835;33863
almost;1700;MSD_RADIX_SORT;1556;0
almost;1700;MSD_RADIX_QUICK_SORT;399;7525
prefix;1700;QUICKSORT;14408;729807
prefix;1700;MERGESORT;8655;337514
prefix;1700;STRING_QUICK_SORT;853;50818
prefix;1700;STRING_MERGE_SORT;6508;352336
prefix;1700;MSD_RADIX_SORT;4790;0
prefix;1700;MSD_RADIX_QUICK_SORT;3636;5762
random;1800;QUICKSORT;6132;285637
random;1800;MERGESORT;2912;23900
random;1800;STRING_QUICK_SORT;598;19950
random;1800;STRING_MERGE_SORT;3292;41109
random;1800;MSD_RADIX_SORT;1780;0
random;1800;MSD_RADIX_QUICK_SORT;413;6923
reverse;1800;QUICKSORT;4855;239052
reverse;1800;MERGESORT;2520;15063
reverse;1800;STRING_QUICK_SORT;1941;79218
reverse;1800;STRING_MERGE_SORT;2684;25107
reverse;1800;MSD_RADIX_SORT;1714;0
reverse;1800;MSD_RADIX_QUICK_SORT;631;19078
almost;1800;QUICKSORT;5013;246433
almost;1800;MERGESORT;2752;20950
almost;1800;STRING_QUICK_SORT;1398;56277
almost;1800;STRING_MERGE_SORT;3080;36012
almost;1800;MSD_RADIX_SORT;1794;0
almost;1800;MSD_RADIX_QUICK_SORT;431;8146
prefix;1800;QUICKSORT;14474;734644
prefix;1800;MERGESORT;9238;361681
prefix;1800;STRING_QUICK_SORT;909;54753
prefix;1800;STRING_MERGE_SORT;6672;377638
prefix;1800;MSD_RADIX_SORT;4925;0
prefix;1800;MSD_RADIX_QUICK_SORT;3764;6091
random;1900;QUICKSORT;6210;295866
random;1900;MERGESORT;3144;25650
random;1900;STRING_QUICK_SORT;595;19692
random;1900;STRING_MERGE_SORT;3503;44001
random;1900;MSD_RADIX_SORT;1954;0
random;1900;MSD_RADIX_QUICK_SORT;452;7563
reverse;1900;QUICKSORT;4781;242872
reverse;1900;MERGESORT;2640;15933
reverse;1900;STRING_QUICK_SORT;2129;85868
reverse;1900;STRING_MERGE_SORT;2845;26541
reverse;1900;MSD_RADIX_SORT;1852;0
reverse;1900;MSD_RADIX_QUICK_SORT;675;20871
almost;1900;QUICKSORT;4955;250626
almost;1900;MERGESORT;2836;22611
almost;1900;STRING_QUICK_SORT;1152;45610
almost;1900;STRING_MERGE_SORT;3214;38904
almost;1900;MSD_RADIX_SORT;1874;0
almost;1900;MSD_RADIX_QUICK_SORT;458;8797
prefix;1900;QUICKSORT;16137;808732
prefix;1900;MERGESORT;9945;386148
prefix;1900;STRING_QUICK_SORT;1024;60761
prefix;1900;STRING_MERGE_SORT;7327;403390
prefix;1900;MSD_RADIX_SORT;5446;0
prefix;1900;MSD_RADIX_QUICK_SORT;3969;6970
random;2000;QUICKSORT;6563;309580
random;2000;MERGESORT;3254;27111
random;2000;STRING_QUICK_SORT;620;20290
random;2000;STRING_MERGE_SORT;3682;46483
random;2000;MSD_RADIX_SORT;2024;0
random;2000;MSD_RADIX_QUICK_SORT;466;8159
reverse;2000;QUICKSORT;4968;253136
reverse;2000;MERGESORT;2770;16682
reverse;2000;STRING_QUICK_SORT;2197;91103
reverse;2000;STRING_MERGE_SORT;2960;27770
reverse;2000;MSD_RADIX_SORT;1980;0
reverse;2000;MSD_RADIX_QUICK_SORT;746;23358
almost;2000;QUICKSORT;5212;252549
almost;2000;MERGESORT;3121;24251
almost;2000;STRING_QUICK_SORT;1742;69232
almost;2000;STRING_MERGE_SORT;3416;41473
almost;2000;MSD_RADIX_SORT;2064;0
almost;2000;MSD_RADIX_QUICK_SORT;517;9774
prefix;2000;QUICKSORT;16518;829276
prefix;2000;MERGESORT;10669;409597
prefix;2000;STRING_QUICK_SORT;1012;60790
prefix;2000;STRING_MERGE_SORT;7710;427901
prefix;2000;MSD_RADIX_SORT;5614;0
prefix;2000;MSD_RADIX_QUICK_SORT;4215;7482
random;2100;QUICKSORT;7130;329689
random;2100;MERGESORT;3488;28850
random;2100;STRING_QUICK_SORT;668;21917
random;2100;STRING_MERGE_SORT;3902;49384
random;2100;MSD_RADIX_SORT;2102;0
random;2100;MSD_RADIX_QUICK_SORT;495;8486
reverse;2100;QUICKSORT;5096;250002
reverse;2100;MERGESORT;2970;17760
reverse;2100;STRING_QUICK_SORT;2288;94321
reverse;2100;STRING_MERGE_SORT;3171;29508
reverse;2100;MSD_RADIX_SORT;2077;0
reverse;2100;MSD_RADIX_QUICK_SORT;789;25093
almost;2100;QUICKSORT;5511;265745
almost;2100;MERGESORT;3295;25248
almost;2100;STRING_QUICK_SORT;1917;72777
almost;2100;STRING_MERGE_SORT;3635;43123
almost;2100;MSD_RADIX_SORT;2099;0
almost;2100;MSD_RADIX_QUICK_SORT;535;10457
prefix;2100;QUICKSORT;17654;891831
prefix;2100;MERGESORT;10942;430398
prefix;2100;STRING_QUICK_SORT;1031;62346
prefix;2100;STRING_MERGE_SORT;7965;449305
prefix;2100;MSD_RADIX_SORT;5931;0
prefix;2100;MSD_RADIX_QUICK_SORT;4403;7881
random;2200;QUICKSORT;7492;346439
random;2200;MERGESORT;3713;30544
random;2200;STRING_QUICK_SORT;702;23532
random;2200;STRING_MERGE_SORT;4154;52224
random;2200;MSD_RADIX_SORT;2156;0
random;2200;MSD_RADIX_QUICK_SORT;519;9063
reverse;2200;QUICKSORT;5573;274054
reverse;2200;MERGESORT;3170;19057
reverse;2200;STRING_QUICK_SORT;2518;100030
reverse;2200;STRING_MERGE_SORT;3421;31621
reverse;2200;MSD_RADIX_SORT;2167;0
reverse;2200;MSD_RADIX_QUICK_SORT;854;27684
almost;2200;QUICKSORT;5996;291326
almost;2200;MERGESORT;3502;27295
almost;2200;STRING_QUICK_SORT;1764;70938
almost;2200;STRING_MERGE_SORT;3884;46781
almost;2200;MSD_RADIX_SORT;2309;0
almost;2200;MSD_RADIX_QUICK_SORT;547;10887
prefix;2200;QUICKSORT;18854;940299
prefix;2200;MERGESORT;11723;455913
prefix;2200;STRING_QUICK_SORT;1053;64619
prefix;2200;STRING_MERGE_SORT;8352;476008
prefix;2200;MSD_RADIX_SORT;6187;0
prefix;2200;MSD_RADIX_QUICK_SORT;4697;8326
random;2300;QUICKSORT;8054;358692
random;2300;MERGESORT;3928;32287
random;2300;STRING_QUICK_SORT;768;25265
random;2300;STRING_MERGE_SORT;4369;55112
random;2300;MSD_RADIX_SORT;2316;0
random;2300;MSD_RADIX_QUICK_SORT;557;9687
reverse;2300;QUICKSORT;6134;300527
reverse;2300;MERGESORT;3348;20240
reverse;2300;STRING_QUICK_SORT;2571;105327
reverse;2300;STRING_MERGE_SORT;3585;33532
reverse;2300;MSD_RADIX_SORT;2407;0
reverse;2300;MSD_RADIX_QUICK_SORT;915;30084
almost;2300;QUICKSORT;6172;303605
almost;2300;MERGESORT;3628;27882
almost;2300;STRING_QUICK_SORT;1251;47416
almost;2300;STRING_MERGE_SORT;4020;47503
almost;2300;MSD_RADIX_SORT;2399;0
almost;2300;MSD_RADIX_QUICK_SORT;575;11861
prefix;2300;QUICKSORT;19501;987177
prefix;2300;MERGESORT;12408;480534
prefix;2300;STRING_QUICK_SORT;1157;68613
prefix;2300;STRING_MERGE_SORT;8997;501738
prefix;2300;MSD_RADIX_SORT;6669;0
prefix;2300;MSD_RADIX_QUICK_SORT;4802;9037
random;2400;QUICKSORT;8218;393344
random;2400;MERGESORT;4094;33970
random;2400;STRING_QUICK_SORT;787;27797
random;2400;STRING_MERGE_SORT;4582;57879
random;2400;MSD_RADIX_SORT;2552;0
random;2400;MSD_RADIX_QUICK_SORT;572;10188
reverse;2400;QUICKSORT;6431;326704
reverse;2400;MERGESORT;3542;21461
reverse;2400;STRING_QUICK_SORT;2617;108723
reverse;2400;STRING_MERGE_SORT;3835;35525
reverse;2400;MSD_RADIX_SORT;2538;0
reverse;2400;MSD_RADIX_QUICK_SORT;966;31902
almost;2400;QUICKSORT;6577;315727
almost;2400;MERGESORT;3868;29296
almost;2400;STRING_QUICK_SORT;1956;75834
almost;2400;STRING_MERGE_SORT;4230;50139
almost;2400;MSD_RADIX_SORT;2534;0
almost;2400;MSD_RADIX_QUICK_SORT;618;12542
prefix;2400;QUICKSORT;22064;1112701
prefix;2400;MERGESORT;12996;504829
prefix;2400;STRING_QUICK_SORT;1164;72398
prefix;2400;STRING_MERGE_SORT;9293;527170
prefix;2400;MSD_RADIX_SORT;6749;0
prefix;2400;MSD_RADIX_QUICK_SORT;5068;9726
random;2500;QUICKSORT;8321;399732
random;2500;MERGESORT;4296;35641
random;2500;STRING_QUICK_SORT;841;28707
random;2500;STRING_MERGE_SORT;4806;60714
random;2500;MSD_RADIX_SORT;2658;0
random;2500;MSD_RADIX_QUICK_SORT;603;10918
reverse;2500;QUICKSORT;6728;342972
reverse;2500;MERGESORT;3748;22605
reverse;2500;STRING_QUICK_SORT;2847;116169
reverse;2500;STRING_MERGE_SORT;3969;37357
reverse;2500;MSD_RADIX_SORT;2638;0
reverse;2500;MSD_RADIX_QUICK_SORT;1036;34764
almost;2500;QUICKSORT;7001;351709
almost;2500;MERGESORT;4011;31148
almost;2500;STRING_QUICK_SORT;1995;79682
almost;2500;STRING_MERGE_SORT;4430;52840
almost;2500;MSD_RADIX_SORT;2640;0
almost;2500;MSD_RADIX_QUICK_SORT;653;13376
prefix;2500;QUICKSORT;20713;1050112
prefix;2500;MERGESORT;13462;528195
prefix;2500;STRING_QUICK_SORT;1303;78300
